agc,ra/deg,dec/deg,v50/km/s,verr/kms/s,/kms/s,logMHI/Msol
193009,137.097914761689,3.364444349426776,3834.0,3.0,4144.63,8.98123
192299,137.1104147619917,9.510833333595656,13844.0,27.0,14146.0,10.1649
191702,137.1516647629905,5.300000190734863,597.0,1.0,905.446,8.08267
717301,137.16458142997,17.71138965210412,8568.0,12.0,8853.12,9.6798
191082,137.2129147644737,3.450833381037228,3844.0,4.0,4154.91,8.94831
198590,137.220831431332,17.23388914321549,4031.0,2.0,4317.45,9.50003
193398,137.3337442799821,1.608888912945986,1331.0,2.0,1644.24,8.19291
191576,137.3408276134869,15.61555593740195,3671.0,5.0,3961.6,9.07344
4811,137.344160946901,15.79305600083899,3783.0,1.0,4073.21,9.59891
193792,137.3491609470221,12.01083333359566,5029.0,6.0,5327.18,9.02689
193400,137.4429109492922,1.803055627155118,4991.0,6.0,5304.4,9.15638
