# group_id gra gdec area
411 188.90772458 26.50010321 1.0
421 158.26485623 11.97966302 1.0
424 186.58082998 9.02152207 1.0
440 151.62308455 14.34731786 1.0
452 220.68536303 8.73239066 1.0
463 137.54982434 19.47465586 1.0
464 144.44813552 17.06527019 0.97619047619
465 222.76324601 18.73480575 1.0
483 232.88941123 7.36894154 1.0
508 168.71947619 4.07244058 1.0
520 199.24385832 7.79031086 1.0
527 170.73745527 24.31741349 1.0
528 219.59027998 17.66756736 1.0
533 212.85473974 1.32769157 1.0
554 196.05339216 7.91830466 1.0
555 222.65428596 9.55518903 1.0
557 223.15197249 7.90313804 1.0
573 136.14872275 17.40360389 0.851851851852
574 156.75116352 21.72618942 1.0
575 219.78260268 20.03672876 0.958333333333
576 240.49763338 12.51587071 1.0
585 239.79407964 2.74613442 1.0
598 175.71333697 10.39152676 1.0
599 165.31590346 10.34926689 1.0
610 224.11445885 11.78198093 1.0
612 242.87450586 23.96306647 1.0
616 208.22444082 14.56953094 1.0
626 203.21609682 18.16154119 1.0
627 238.35700724 12.05634627 1.0
634 213.66197677 3.12701838 1.0
641 167.59808612 4.84804766 1.0
660 46.06287509 0.42505789 1.0
662 164.06643146 9.81131389 1.0
678 179.57750174 25.18199398 1.0
679 222.13969955 18.29475306 1.0
695 170.14687453 4.30515507 1.0
720 248.85153613 25.95643143 1.0
723 247.50427956 25.67620276 1.0
732 208.02577576 14.10658819 1.0
736 205.9373798 30.03393518 1.0
741 213.31173734 24.5805652 1.0
751 185.08501575 25.69020843 1.0
752 221.07450738 15.46762625 1.0
766 216.81929514 4.83937915 1.0
771 228.97293025 3.00929741 1.0
776 196.17980632 3.81312301 1.0
795 148.51457973 10.55720483 1.0
824 142.07369327 26.41042767 1.0
837 222.4241427 16.93821403 1.0
853 167.91686001 3.15471393 1.0
899 243.14817354 29.36657203 1.0
921 225.75572682 17.18712787 1.0
922 173.34347893 22.47888499 0.8
923 169.53974732 23.45272543 0.290322580645
965 166.98239991 13.12181222 1.0
1005 172.96406773 28.20741302 1.0
1010 226.85014696 16.24715277 1.0
1023 152.20058052 14.95685311 1.0
1049 228.41990776 4.7712942 1.0
1062 164.52008736 9.36614032 1.0
1077 203.4784259 13.22941913 1.0
1084 213.14625365 8.70166242 1.0
1088 242.92749022 29.48978513 1.0
1100 212.7620158 25.6148709 1.0
1106 118.44831229 13.16312395 1.0
1107 184.91594784 28.78668387 1.0
1114 135.65332217 14.54046416 0.846153846154
1124 226.66498914 12.76576279 1.0
1195 241.93850269 25.46876729 1.0
1214 156.45587797 13.72750943 1.0
1218 206.87402451 3.52224883 1.0
1227 166.31282552 29.94490586 1.0
1235 146.81499661 21.98432241 0.666666666667
1237 160.83478396 24.84059311 1.0
1242 161.12862909 22.17902317 0.824561403509
1244 221.91476935 18.97446965 1.0
1249 181.18696331 24.16032648 1.0
1258 217.95958737 16.80415873 1.0
1270 154.78169894 16.14626086 1.0
1271 156.7494236 16.09757352 1.0
1275 214.50790387 0.27355919 1.0
1284 190.89080318 3.58955198 1.0
1332 183.49813304 14.18500171 1.0
1344 243.11793373 28.40325335 1.0
1366 217.60956019 11.94020112 1.0
1400 224.84587973 23.99188719 1.0
1410 161.4363778 25.99941005 1.0
1422 161.02131769 18.51147612 1.0
1423 182.68192773 19.06824494 1.0
1435 243.13389896 0.3539162 1.0
1459 348.38683811 14.09191732 1.0
1478 193.6974324 3.92037629 1.0
1556 169.87968582 12.08185735 1.0
1559 226.70066938 9.64897167 1.0
1568 219.70571764 10.11510482 1.0
1571 219.55214707 9.31766337 1.0
1572 212.24502227 8.95931997 1.0
1573 235.1146505 7.40051292 1.0
1576 226.87665767 7.046855 1.0
1591 236.12245241 25.36111799 1.0
1611 235.65093427 23.76894941 0.966666666667
1628 140.73494599 22.07654888 1.0
1629 167.87176788 28.70727134 1.0
1630 160.28174827 25.50613181 1.0
1631 167.88324734 26.27352163 1.0
1632 172.08285126 27.42619085 1.0
1633 179.71406659 28.32372789 1.0
1634 167.29704684 26.65584639 1.0
1635 169.43208183 26.62844628 1.0
1649 213.29495871 20.40452269 1.0
1664 182.85279987 17.82608782 1.0
1694 339.24620281 14.37760952 1.0
1701 131.72598233 2.60011146 1.0
1734 3.1323222 -0.03345085 1.0
1755 161.12731099 6.65565248 1.0
1762 172.24458834 9.07821388 1.0
1819 227.66204649 8.51082947 1.0
1829 225.62445415 5.63070004 1.0
1861 160.12165392 13.63292357 1.0
1882 214.75526273 26.3781323 1.0
1885 208.99972571 28.58079668 1.0
1894 140.83060744 24.39613332 1.0
1904 167.748533 25.86929008 1.0
1926 206.47903132 22.05403967 1.0
1928 207.82682519 21.98379218 1.0
1929 171.23218032 24.00093509 1.0
1940 180.43549761 17.7981655 1.0
1998 29.30743066 14.59865145 1.0
1999 18.21417809 15.74131194 1.0
2017 207.44075585 4.24442221 1.0
2056 159.74320307 5.67559014 1.0
2094 165.04662733 9.99073482 1.0
2100 155.74415241 12.18724616 1.0
2127 168.52300078 6.59900752 1.0
2130 195.90612965 7.55504451 1.0
2142 191.24107212 9.75586281 1.0
