# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  260940   240.865005   15.646111   10152   0.03384                160.0   241   1.4    8.9       9.93        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   138.93592736112342   76.73275173752485    477451   240.857761466   15.646728372   0.0338164   2.04927066E9   
  260098   241.15625    16.469168   11694   0.03898                168.3   252   2.47   13.5      10.22       2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   159.39703682258607   66.88289967077509    479434   241.157971313   16.47070367    0.0390201   3.90953242E9   
  251498   239.439163   16.370001   10870   0.03623333333333333    161.4   267   1.04   5.5       9.81        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   148.31494236384341   71.88039082043844    490946   239.44378348    16.373455045   0.0361952   1.27052308E10  
  255437   239.579987   16.297499   10684   0.03561333333333333    154.0   250   1.04   5.8       9.77        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   144.7530148310746    73.64914667970874    490957   239.575106117   16.291707243   0.0352905   3.47947059E9   
  262077   240.734161   15.331111   10027   0.03342333333333333    144.6   327   1.25   6.7       9.79        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   137.97619939218094   77.26648558655704    476569   240.727997829   15.335722417   0.0335736   6.087572E9     
  262081   240.801666   15.846666   11706   0.03902                168.5   134   0.67   6.2       9.65        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   158.4183254422923    67.29610347703978    491024   240.803029081   15.849576152   0.03877     9.4260142E9    
  260052   240.900818   15.870833   10131   0.03377                146.0   88    0.58   5.3       9.47        2         240.54198199   16.1237316    0.03629425   14.91     14.8014   349    3.1011405820300313   138.8596557577202    76.77489882464403    491039   240.893928648   15.874986207   0.0337971   5.4502543E9    
  251521   240.452896   17.645834   10725   0.03575                154.5   85    1.17   10.8      9.82        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   146.63101711552935   75.29076804206582    481380   240.456028767   17.640558271   0.0357673   7.6820173E9    
  261196   240.769989   17.17111    10085   0.03361666666666667    145.4   140   1.2    8.5       9.78        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   137.9947816020871    80.00274915649804    480429   240.773934865   17.172333132   0.0335783   2.17845837E9   
  720664   240.845398   17.587502   10851   0.03617                156.3   64    1.18   12.8      9.83        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   148.21777767870887   74.48473503191222    481389   240.842961462   17.585231962   0.0361705   3.4617257E9    
